map_index,original_name,corrected_name,family,doubtful,identified_by_sight,spp,has_map,map
405,Motacilla alba alba,,Motacillidae,FALSE,FALSE,TRUE,TRUE,oiseaux_de_senegambie_Page_110_1
405,Motacilla alba vidua,Motacilla aguimp vidua,Motacillidae,FALSE,FALSE,TRUE,TRUE,oiseaux_de_senegambie_Page_110_2
406,Anthus campestris,,Motacillidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_110_3
407,Anthus leucophrys,,Motacillidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_110_4
408,Anthus trivialis,,Motacillidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_110_5
409,Anthus cervinius,,Motacillidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_111_1
410,Macronyx croceus,,Motacillidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_111_2
411,Prionops plumata,,Prionopidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_111_3
412,Nilaus afer,,Malaconotidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_111_4
413,Dryoscopus gambensis,,Malaconotidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_111_5
414,Tchagra senegalus,,,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_111_6
415,Laniarius barbarus,,Malaconotidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_112_1
,Laniarius ferrugineus,,Malaconotidae,TRUE,TRUE,FALSE,FALSE,
416,Malaconotus sulfureopectus,Chlorophoneus sulfureopectus,Malaconotidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_112_2
417,Malaconotus blanchoti,,Malaconotidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_112_3
418,Corvinella corvina,,Laniidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_112_4
419,Lanius collurio,Lanius isabellinus,Laniidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_112_5
420,Lanius excubitor,,Laniidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_113_1
